primary_category_id,primary_category_ko,normalized_institution,author_count,selected_paper_count,matched_filter_views,dual_affiliation_author_count,raw_affiliation_variants
FOREIGN_INSTITUTION,외국 기관,South Korea,1,1,foreign,0,South Korea
FOREIGN_INSTITUTION,외국 기관,Technical University of Munich,1,1,foreign,0,Technical University of Munich
FOREIGN_INSTITUTION,외국 기관,Technische Universität Darmstadt,1,1,foreign,0,Technische Universität Darmstadt
FOREIGN_INSTITUTION,외국 기관,The University of Texas at Austin,1,1,foreign,0,The University of Texas at Austin
FOREIGN_INSTITUTION,외국 기관,The University of Tokyo,1,1,foreign,0,The University of Tokyo
FOREIGN_INSTITUTION,외국 기관,Tsinghua University,1,1,foreign,0,Tsinghua University
FOREIGN_INSTITUTION,외국 기관,TU Munich/Zeiss Meditec,1,1,foreign,0,TU Munich/Zeiss Meditec
FOREIGN_INSTITUTION,외국 기관,Twelve Labs,1,1,foreign,0,Twelve Labs
FOREIGN_INSTITUTION,외국 기관,Tynapse,1,1,foreign,0,Tynapse
FOREIGN_INSTITUTION,외국 기관,Universita' degli studi di Padova,1,1,foreign,0,Universita' degli studi di Padova
FOREIGN_INSTITUTION,외국 기관,University of Aberdeen/ Fogsphere (Redev.AI Ltd.),1,1,foreign,0,University of Aberdeen/ Fogsphere (Redev.AI Ltd.)
FOREIGN_INSTITUTION,외국 기관,University of Birmingham,1,1,foreign,0,University of Birmingham
FOREIGN_INSTITUTION,외국 기관,University of British Columbia,1,1,foreign,0,University of British Columbia
FOREIGN_INSTITUTION,외국 기관,University of California at Merced,1,2,foreign,0,University of California at Merced
FOREIGN_INSTITUTION,외국 기관,"University of California, Berkeley",1,1,foreign,0,"University of California, Berkeley"
FOREIGN_INSTITUTION,외국 기관,"University of California, San Diego",1,1,foreign,0,"University of California, San Diego"
FOREIGN_INSTITUTION,외국 기관,"University of California, San Diego, University of California, San Diego",1,1,foreign,0,"University of California, San Diego, University of California, San Diego"
FOREIGN_INSTITUTION,외국 기관,University of Illinois at Urbana-Champaign,1,1,foreign,0,University of Illinois at Urbana-Champaign
FOREIGN_INSTITUTION,외국 기관,"University of Illinois, Urbana Champaign",1,1,foreign,0,"University of Illinois, Urbana Champaign"
FOREIGN_INSTITUTION,외국 기관,University of Michigan,1,1,foreign,0,University of Michigan
FOREIGN_INSTITUTION,외국 기관,University of Michigan - Ann Arbor,1,1,foreign,0,University of Michigan - Ann Arbor
FOREIGN_INSTITUTION,외국 기관,University of Pennsylvania,1,1,foreign,0,University of Pennsylvania
FOREIGN_INSTITUTION,외국 기관,Zhejiang University,1,1,foreign,0,Zhejiang University
KOREAN_COMPANY,한국 기업,LG Electronics,13,6,company,0,LG Electronics | LG Electronins
KOREAN_COMPANY,한국 기업,NAVER LABS,9,3,company,0,Naver Labs | NAVER LABS | NaverLabs
KOREAN_COMPANY,한국 기업,Samsung,8,6,company,0,"Samsung | Samsung Electronics | Samsung Electronics Co., Ltd. | Samsung Research | Samsung Research America"
KOREAN_COMPANY,한국 기업,LG Corporation,6,4,company,0,LG Corporation
KOREAN_COMPANY,한국 기업,NAVER AI Lab,6,3,company,0,NAVER  AI Lab | Naver AI Lab | NAVER AI Lab
KOREAN_COMPANY,한국 기업,NAVER Cloud,6,4,company,0,Naver Cloud | NAVER Cloud | NAVER Cloud Corp.
KOREAN_COMPANY,한국 기업,Kakao,5,1,company,0,Kakao | Kakao Corp.
KOREAN_COMPANY,한국 기업,LG AI Research,5,3,company,0,"Language Lab, LG AI Research | LG AI Research | University of Michigan - Ann Arbor; LG AI Research | University of Michigan, LG AI Research"
KOREAN_COMPANY,한국 기업,AiM Future,4,2,company,0,"AiM Future | AiM Future, Inc. | Aimfuture"
KOREAN_COMPANY,한국 기업,CLO Virtual Fashion,4,2,company,0,CLO Virtual Fashion | CLO Virtual Fashion Inc.
KOREAN_COMPANY,한국 기업,SNOW Corporation,3,1,company,0,SNOW Corp. | SNOW Corporation
KOREAN_COMPANY,한국 기업,CJ Corp.,2,2,company,0,CJ Corp.
KOREAN_COMPANY,한국 기업,KRAFTON,2,1,company,0,Krafton | KRAFTON
KOREAN_COMPANY,한국 기업,NAVER,2,1,company,0,NAVER
KOREAN_COMPANY,한국 기업,POSCO DX,2,1,company,0,POSCO DX
KOREAN_COMPANY,한국 기업,SK Telecom,2,1,company,0,SK Telecom
KOREAN_COMPANY,한국 기업,Hyundai Motor Company,1,1,company,0,"Robotics Lab, Hyundai Motor Company"
KOREAN_COMPANY,한국 기업,Maum AI,1,1,company,0,Maum AI
KOREAN_COMPANY,한국 기업,OGQ,1,2,company,0,OGQ
KOREAN_COMPANY,한국 기업,SK hynix,1,1,company,0,SK hynix
KOREAN_COMPANY,한국 기업,StradVision,1,1,company,0,StradVision
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,KAIST,184,78,university|company,2,"Gachon University; Korea Advanced Institute of Science & Technology | Kaist | KAIST | KAIST (Korea Advanced Institute of Science and Technology) | KAIST AI | KAIST Innocore LLM, Korea Advanced Institute of Science & Technology | KAIST, Imperial College London | Kim Jaechul Graduate School of AI, Korea Advanced Institute of Science & Technology | Korea Advanced Institute of Science & Technology | Korea Advanced Institute of Science & Technology (KAIST), Daejeon | Korea Advanced Institute of Science & Technology; | Korea Advanced Institute of Science & Technology; ANTLAB | Korea Advanced Institute of Science & Technology; Daegu Gyeongbuk Institute of Science and Technology | Korea Advanced Institute of Science & Technology; Korea Advanced Institute of Science & Technology | Korea Advanced Institute of Science & Technology; Korea Advanced Institute of Science & Technology; Korea University | Korea Advanced Institute of Science & Technology; Korea University | Korea Advanced Institute of Science & Technology; New York University Abu Dhabi | Korea Advanced Institute of Science & Technology; Pohang University of Science and Technology | Korea Advanced Institute of Science and Technology | Korea Advanced Institute of Science and Technology (KAIST) | Korea Advanced Institute of Science and Technology (KAIST), INEEJI Corp. | Korea Advanced Institute of Science and Technology; AITRICS | KRAFTON; Korea Advanced Institute of Science & Technology | Max Planck Institute for Security and Privacy; Korea Advanced Institute of Science & Technology | School of Computing, KAIST"
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Seoul National University,130,52,university|company,2,"Department of Computer Science and Engineering, Seoul National University | Google Research & Seoul National University | Google; Seoul National University | Interdisciplinary Program in Neuroscience, Seoul National University | IPAI, Seoul National University, Seoul, Korea and Department of ECE, INMC, Seoul National University, Seoul, Korea | Seoul National University | SEOUL NATIONAL UNIVERSITY | Seoul National University College of Medicine; Seoul National University College of Medicine | Seoul National University, Seoul National University; Yonsei University | Seoul National University; Korea University | Seoul National University; LG Corporation | Seoul National University; Samsung | Seoul National University; Seoul National University | SNU, Seoul National University | SNU/CVLAB | Vision and Learning Lab, Seoul National University"
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Yonsei University,71,31,university|company,1,Emory University; Yonsei University | NAVER; Yonsei University | Yonsei Univ. | yonsei univercity | yonsei university | Yonsei university | Yonsei University
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Korea University,56,28,university|company,1,"Korea University | Korea University Sejong Campus | Korea University, LG Uplus Corp. | Korea University; Korea University | MINTLAB, Department of Mechanical Engineering, KOREA University"
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,POSTECH,54,24,university,0,Pohang University of Science and Technology | Pohang University of Science and Technology (POSTECH) | Pohang University of Science and Technology; Pohang University of Science and Technology | POSTECH | Seoul National University; Pohang University of Science and Technology
