candidate_identity_key,eccv_first_author_name,eccv_first_author_affiliation_raw,eccv_selected_paper_count,eccv_virtual_poster_ids,eccv_titles,source_policy,scholar_status,scholar_profile_url,scholar_search_url,scholar_identity_evidence_url,unknown_reason,eligible_prior_work_count,first_listed_unmarked_count,explicit_equal_contribution_first_count,contribution_marker_unknown_count
cai_160v8n0,Hoiyeong Jin,KAIST,1,4205,InsertAnywhere: Geometrically Grounded and Optics-Aware Video Object Insertion,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=InsertAnywhere%3A+Geometrically+Grounded+and+Optics-Aware+Video+Object+Insertion,,scholar_access_blocked,,,,
cai_1672kz7,Jin Hong,Chung-Ang University,1,4432,C3ASD: Multi-Level Consistency-Driven Representation Learning for Robust Active Speaker Detection,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=C3ASD%3A+Multi-Level+Consistency-Driven+Representation+Learning+for+Robust+Active+Speaker+Detection,,scholar_access_blocked,,,,
cai_168kmvb,Daeyeon Kim,POSTECH,1,3904,REON-NVS: Real-Time Online Novel-View Synthesis from Sparse-View Videos,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=REON-NVS%3A+Real-Time+Online+Novel-View+Synthesis+from+Sparse-View+Videos,,scholar_access_blocked,,,,
cai_16kt7l8,Jeongwan On,UNIST,1,3183,Multi-THuMBS: Multi-person Tracking of 3D Human Meshes Beyond Video Shots,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Multi-THuMBS%3A+Multi-person+Tracking+of+3D+Human+Meshes+Beyond+Video+Shots,,scholar_access_blocked,,,,
cai_16lmauc,Hyunsoo Lee,Seoul National University,1,4695,Accelerated Likelihood Maximization for Diffusion-based Versatile Content Generation,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Accelerated+Likelihood+Maximization+for+Diffusion-based+Versatile+Content+Generation,,scholar_access_blocked,,,,
cai_174cqdx,Joo Young Choi,KRAFTON,1,5296,"Every Dog Has Its Day, Probably: A Balanced Synthetic Benchmark and Probabilistic Modeling for 3D Dog Pose Estimation",google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Every+Dog+Has+Its+Day%2C+Probably%3A+A+Balanced+Synthetic+Benchmark+and+Probabilistic+Modeling+for+3D+Dog+Pose+Estimation,,scholar_access_blocked,,,,
cai_176x63n,Kang MinSeok,Chung-Ang University,1,5854,Prune Once: Retraining-Free Task-Agnostic Pruning for Vision-Language Models,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Prune+Once%3A+Retraining-Free+Task-Agnostic+Pruning+for+Vision-Language+Models,,scholar_access_blocked,,,,
cai_17clweh,Kwonyoung Ryu,Pohang University of Science and Technology,1,5627,Extending a Large View Synthesis Model for Multi-view Panoptic Segmentation,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Extending+a+Large+View+Synthesis+Model+for+Multi-view+Panoptic+Segmentation,,scholar_access_blocked,,,,
cai_17oxlre,Jinwoo Jang,Sungkyunkwan University,1,5948,Multi-scale Mixture of World Models for Embodied Agents in Evolving Environments,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Multi-scale+Mixture+of+World+Models+for+Embodied+Agents+in+Evolving+Environments,,scholar_access_blocked,,,,
cai_180le5h,Dongsu Song,Korea Aerospace University,1,4370,SegPAR: Class-Centric Decision-Based Sparse Attack for Semantic Segmentation,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=SegPAR%3A+Class-Centric+Decision-Based+Sparse+Attack+for+Semantic+Segmentation,,scholar_access_blocked,,,,
cai_181h3s9,Hyekang Park,Yonsei university,1,4309,Learning Probabilistic Prompt for Continual Learning,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Learning+Probabilistic+Prompt+for+Continual+Learning,,scholar_access_blocked,,,,
