candidate_identity_key,work_id,title,venue,publication_date,work_type,author_position,contribution_marker_status,contribution_type,scholar_marker_text,scholar_work_url,scholar_marker_url,source_policy
cai_10dcrrm,https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=_jdAVpYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=_jdAVpYAAAAJ:u5HHmVD_uO8C,Kinetic typography diffusion model,ECCV,2024,main_conference_full_paper,first,no_marker,first_listed_unmarked,,https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=_jdAVpYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=_jdAVpYAAAAJ:u5HHmVD_uO8C,,google_scholar_only
cai_12doui9,https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=hMSbyCoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hMSbyCoAAAAJ:8k81kl-MbHgC,Rethinking decoder design: Improving biomarker segmentation using depth-to-space restoration and residual linear attention,CVPR,2025,main_conference_full_paper,first,no_marker,first_listed_unmarked,,https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=hMSbyCoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hMSbyCoAAAAJ:8k81kl-MbHgC,,google_scholar_only
